ID,Dataset,Size,Volume,WedgeCount,ClawCount,MaxDegree,AveDeg,Fill
9,1,444,283,277,91,5,1.27477477477477,0.002864662415224
10,0,1910,1090,1478,491,5,1.1413612565445,0.000597258637648
10,0,944,560,691,229,5,1.1864406779661,0.001255492780917
10,0,901,540,584,194,5,1.19866814650388,0.001328900384151
10,0,1873,1078,1431,476,5,1.15109450080085,0.000614244664248
10,0,1807,1034,1317,438,5,1.14443829551743,0.000632985782919
10,0,1805,1009,1411,468,5,1.11800554016621,0.000619050686692
10,1,1502,839,1207,400,5,1.11717709720373,0.000743298135199
10,1,1894,1044,1558,518,5,1.10242872228089,0.000581756581679
10,1,992,597,695,231,5,1.20362903225806,0.001212113829062
10,1,2307,1276,1807,602,5,1.10619852622453,0.000479288789525
11,0,186,118,137,45,5,1.26881720430108,0.006785118739578
11,0,224,142,143,47,5,1.26785714285714,0.005634920634921
11,0,656,401,438,146,5,1.22256097560976,0.001860823402755
11,0,236,153,161,53,5,1.29661016949153,0.005470928985196
11,0,357,223,255,85,5,1.24929971988796,0.003489664022033
11,0,923,574,606,202,5,1.24377031419285,0.001346071768607
11,1,395,245,300,99,4,1.24050632911392,0.003132591740187
11,1,356,232,262,87,4,1.30337078651685,0.003650898561672
11,1,521,325,371,123,5,1.24760076775432,0.00239003978497
11,1,484,301,337,112,4,1.24380165289256,0.0025645394905
12,0,1092,724,627,208,5,1.32600732600733,0.001213181451059
12,0,299,197,170,56,5,1.31772575250836,0.004392419175028
12,0,3483,2159,2323,773,5,1.2397358598909,0.000355836928786
12,0,220,145,127,42,5,1.31818181818182,0.005964623611682
12,0,853,567,510,169,5,1.32942555685815,0.001556704399131
12,0,93,60,66,22,4,1.29032258064516,0.01372683596431
12,1,2602,1676,1686,561,5,1.28823981552652,0.000494905806964
12,1,4775,2939,3238,1077,5,1.23099476439791,0.000257745972445
12,1,2320,1473,1452,482,5,1.2698275862069,0.000547103656272
12,1,1257,833,766,255,5,1.32537788385044,0.001053559526113
13,0,3021,1615,2532,843,5,1.06918238993711,0.000353799599582
13,0,3869,1984,3405,1134,5,1.02558800723701,0.000265009820991
13,0,706,438,466,155,5,1.24079320113314,0.001755011599905
13,0,2802,1505,2374,790,5,1.07423269093505,0.000383243913998
13,0,338,204,271,90,4,1.20710059171598,0.003560768707127
13,0,425,256,327,109,5,1.20470588235294,0.002827948080641
13,1,2681,1480,2002,666,5,1.10406564714659,0.000411657586557
13,1,4357,2347,3634,1211,5,1.07734679825568,0.000247211289182
13,1,2239,1301,1699,566,5,1.16212594908441,0.00051880622727
13,1,4015,2170,3312,1102,5,1.08094645080946,0.000269159972811
14,0,1901,1121,1378,458,5,1.17937927406628,0.000620073225061
14,0,695,423,497,165,5,1.21726618705036,0.001748945671049
14,0,683,411,440,146,5,1.20351390922401,0.001759523259099
14,0,1244,720,898,299,5,1.15755627009646,0.000929764072367
14,0,645,405,458,151,5,1.25581395348837,0.001943984448124
14,0,511,316,324,108,4,1.23679060665362,0.00241560665362
14,1,1263,750,869,289,5,1.18764845605701,0.000939595297513
14,1,696,424,456,152,5,1.2183908045977,0.00174804993486
14,1,515,314,367,122,5,1.21941747572816,0.002363212162264
14,1,481,294,297,99,4,1.22245322245322,0.00253621000509
15,0,13696,7294,10955,3587,5,1.0651285046729,7.77636347136524E-05
15,0,11240,6006,8674,2841,5,1.06868327402135,9.50701249018194E-05
15,0,14601,6919,9981,3324,5,0.947743305253065,6.49050339167967E-05
15,0,12198,6496,9660,3169,5,1.0650926381374,8.73098318007541E-05
15,0,15588,7352,10688,3557,5,0.943289710033359,6.05099563816383E-05
15,0,14041,7389,11558,3796,5,1.05248913895022,7.49529368288148E-05
15,1,14449,6901,9930,3306,5,0.955221814658454,6.61053158933186E-05
15,1,13908,7381,11209,3674,5,1.06140350877193,7.63105549480142E-05
15,1,13805,7249,11230,3692,5,1.05019920318725,7.60683183534152E-05
15,1,13485,7210,10598,3469,5,1.06933629959214,7.92923253442191E-05
16,0,743,449,558,186,4,1.20861372812921,0.001624480817378
16,0,820,496,613,204,5,1.20975609756098,0.001473515344167
16,0,927,558,700,233,5,1.20388349514563,0.001297288249079
16,0,542,324,420,139,5,1.19557195571956,0.002201789973701
16,0,292,188,189,63,5,1.28767123287671,0.004394782364767
16,0,1027,614,853,283,4,1.19571567672834,0.001163147545456
16,1,918,570,632,210,5,1.24183006535948,0.001351284075473
16,1,1061,654,763,254,4,1.23279924599434,0.001160827915249
16,1,529,327,423,141,5,1.23629489603025,0.002332631879302
16,1,312,190,246,82,4,1.21794871794872,0.003891209961498
17,0,22055,11172,20717,6809,5,1.0131036046248,4.59332428647444E-05
17,0,16921,8616,15680,5142,5,1.01837952839667,6.01808018199189E-05
17,0,2541,1371,1881,627,5,1.07910271546635,0.000424509329452
17,0,21335,10777,19636,6448,5,1.0102648230607,4.73502448003702E-05
17,0,20189,10230,18934,6219,5,1.01342315122096,5.01943116008401E-05
17,0,21759,11099,20272,6652,5,1.02017555953858,4.6883067993501E-05
17,1,27188,13121,22175,7290,5,0.965205237604826,3.54998432308958E-05
17,1,22560,11361,21134,6924,5,1.00718085106383,4.46425624335725E-05
17,1,15069,7736,13847,4547,5,1.02674364589555,6.81316287920071E-05
17,1,12775,6122,9132,3040,5,0.958434442270059,7.50183502089902E-05
18,0,5403,2743,4536,1509,5,1.01536183601703,0.000187890791269
18,0,4344,2268,3575,1190,5,1.04419889502762,0.000240321955127
18,0,2429,1325,1914,635,5,1.09098394400988,0.000448964586012
18,0,3651,1921,2975,990,5,1.05231443440153,0.000288147435488
18,0,4643,2399,3611,1202,5,1.03338358819729,0.000222520152497
18,0,4696,2417,3932,1309,5,1.0293867120954,0.000219158337683
18,1,3257,1719,2666,886,5,1.0555726128339,0.000323994049366
18,1,1813,1031,1330,443,5,1.13734142305571,0.000626979836304
18,1,3183,1698,2551,849,5,1.06691800188501,0.00033508731215
18,1,7199,3647,5922,1971,5,1.01319627726073,0.000140721705175
19,0,1882,1063,1492,497,5,1.12964930924548,0.000599919973046
19,0,3440,1879,2777,925,5,1.09244186046512,0.000317478018153
19,0,3427,1844,2837,944,5,1.07615990662387,0.000313932294814
19,0,3258,1779,2515,836,5,1.09208103130755,0.000335096971865
19,0,3698,1966,3023,1007,5,1.06327744726879,0.000287449972227
19,0,3509,1873,2867,954,5,1.06754060986036,0.000304142623892
19,1,3412,1879,2626,874,5,1.10140679953107,0.000322709287879
19,1,4198,2217,3586,1194,5,1.05621724630777,0.000251540187261
19,1,3618,1933,2884,958,5,1.0685461580984,0.000295260060265
19,1,5120,2653,4097,1363,5,1.036328125,0.000202368311853
20,0,1781,912,1404,468,5,1.02414373947221,0.000574715903183
20,0,1891,948,1532,510,5,1.00264410364886,0.000529938744
20,0,173,105,129,43,5,1.21387283236994,0.006976280645804
20,0,2148,1072,1827,609,5,0.998137802607076,0.000464466171525
20,0,1361,699,1143,380,5,1.02718589272594,0.000754174664263
20,0,1617,807,1450,483,5,0.998144712430427,0.000616900316706
20,1,584,331,456,152,5,1.13356164383562,0.001937712211685
20,1,494,286,403,134,5,1.15789473684211,0.00233918128655
20,1,610,346,426,142,5,1.1344262295082,0.001856671406724
20,1,1541,773,1261,420,5,1.00324464633355,0.000650612611111
21,0,292,184,177,58,5,1.26027397260274,0.004301276357006
21,0,3930,2098,3011,1002,5,1.0676844783715,0.000271606328764
21,0,2893,1529,2263,752,5,1.05703422053232,0.000365250248975
21,0,888,518,663,221,5,1.16666666666667,0.001312335958005
21,0,290,189,186,62,5,1.30344827586207,0.004479203697121
21,0,2199,1213,1768,588,5,1.10322874033652,0.000501467609244
21,1,249,163,148,49,5,1.30923694779116,0.005236947791165
21,1,3385,1839,2383,792,5,1.08655834564254,0.000320897325943
21,1,254,161,163,54,5,1.26771653543307,0.004971437393855
21,1,3595,1932,2636,874,5,1.07482614742698,0.000298894924201
22,0,1046,632,720,240,5,1.20841300191205,0.001154167146048
22,0,2393,1386,1784,593,5,1.15837860426243,0.000483867420327
22,0,3750,2087,2833,943,5,1.11306666666667,0.000296738647472
22,0,1442,869,984,327,5,1.20527045769764,0.000835253262438
22,0,713,447,455,151,5,1.25385694249649,0.001756102160359
22,0,468,305,285,95,5,1.3034188034188,0.002779144570189
22,1,644,365,497,165,5,1.13354037267081,0.001757426934373
22,1,200,126,133,44,5,1.26,0.006268656716418
22,1,352,225,200,66,5,1.27840909090909,0.003621555498326
22,1,1905,1114,1360,452,5,1.16955380577428,0.000613616897048
23,0,318,184,259,86,5,1.15723270440252,0.003627688728535
23,0,171,104,101,33,5,1.21637426900585,0.007071943424453
23,0,679,383,513,171,5,1.12812960235641,0.001659014121112
23,0,561,319,456,152,5,1.13725490196078,0.002023585234806
23,0,762,411,571,190,5,1.07874015748032,0.001413814098926
23,0,524,308,328,109,5,1.17557251908397,0.002239185750636
23,1,598,334,443,147,5,1.11705685618729,0.001864869542884
23,1,326,195,228,76,5,1.19631901840491,0.003658467946192
23,1,365,213,289,96,5,1.16712328767123,0.003188861441725
23,1,355,207,285,95,5,1.16619718309859,0.003275834783985
24,0,6380,3238,5037,1679,5,1.01504702194357,0.000159073346175
24,0,6366,3183,5162,1720,5,1,0.000157059839799
24,0,8673,4335,6983,2326,5,0.999654098927707,0.000115247186872
24,0,15688,8236,11452,3759,5,1.04997450280469,6.69242464659756E-05
24,0,3921,2091,3033,1009,5,1.06656465187452,0.00027194407238
24,0,19813,9952,14203,4673,5,1.00459294402665,5.07011680643307E-05
24,1,10456,5122,8634,2876,5,0.979724560061209,9.36907870384631E-05
24,1,8514,4237,7074,2357,5,0.995301855766972,0.00011688806292
24,1,4202,2200,3308,1102,5,1.04712041884817,0.000249136430847
24,1,9307,4633,7413,2470,5,0.995594713656388,0.000106961185395
25,0,402,262,272,90,4,1.30348258706468,0.00323444810686
25,0,402,263,244,81,4,1.30845771144279,0.003246793328642
25,0,389,239,270,90,5,1.22879177377892,0.003150748137895
25,0,421,261,274,91,5,1.23990498812352,0.002938163478966
25,0,2570,1497,1898,630,5,1.16498054474708,0.000453123510209
25,0,1753,1054,1248,415,5,1.20250998288648,0.000685581518179
25,1,1415,847,898,299,5,1.19717314487633,0.000845461260506
25,1,1171,730,797,265,5,1.2467976088813,0.001063820485394
25,1,543,341,305,101,5,1.25598526703499,0.002308796446756
25,1,410,267,195,65,5,1.30243902439024,0.003168951397543
26,0,1042,650,604,201,5,1.24760076775432,0.001196165645019
26,0,588,367,344,114,5,1.24829931972789,0.002119353683749
26,0,387,254,219,73,5,1.31266149870801,0.003383148192546
26,0,231,149,140,46,5,1.29004329004329,0.0055605314226
26,0,683,436,379,125,5,1.27672035139092,0.001866550221332
26,0,397,249,235,78,5,1.2544080604534,0.003151779046365
26,1,1603,962,994,330,5,1.20024953212726,0.000748285244468
26,1,396,251,255,85,4,1.26767676767677,0.003193140472737
26,1,187,121,120,40,5,1.29411764705882,0.006883604505632
26,1,2763,1590,1877,624,5,1.15092290988056,0.000416397579552
27,0,11232,5968,9155,3049,5,1.06267806267806,9.46032282273714E-05
27,0,13069,6779,10372,3453,5,1.0374167878185,7.93738934826704E-05
27,0,12892,6826,10695,3561,5,1.05895128762023,8.21338158396207E-05
27,0,12707,6724,10290,3427,5,1.05831431494452,8.32793763727194E-05
27,0,26081,3119,21076,7019,5,0.239177945630919,9.17023025960122E-06
27,0,11164,5973,9002,2997,5,1.07004657828735,9.58393710960459E-05
27,1,9597,5223,7549,2510,5,1.08846514535792,0.000113405412102
27,1,26145,13236,21119,7033,5,1.01250717154332,3.87251270382971E-05
27,1,11216,6045,8894,2961,5,1.07792439372325,9.60973873338016E-05
27,1,12906,6787,10641,3542,5,1.05175887184255,8.14874774806348E-05
28,0,420,231,279,93,5,1.1,0.002612826603325
28,0,1085,562,672,224,5,1.03594470046083,0.00095390856396
28,0,908,461,660,220,5,1.01541850220264,0.001117072059629
28,0,771,394,621,207,5,1.02204928664073,0.00132389803969
28,0,275,155,219,73,5,1.12727272727273,0.004084321475626
28,0,740,379,520,173,5,1.02432432432432,0.001382354013933
28,1,136,80,99,33,5,1.17647058823529,0.008587376556462
28,1,126,73,78,26,5,1.15873015873016,0.00912385951756
28,1,78,46,60,20,5,1.17948717948718,0.014930217461863
28,1,306,173,228,76,5,1.13071895424837,0.003683123629474
29,0,4197,2168,3518,1172,5,1.03311889444842,0.00024609787862
29,0,3614,1942,2934,977,5,1.07470946319867,0.000297291691065
29,0,16475,7965,11508,3829,5,0.966919575113809,5.86865486230765E-05
29,0,17222,8186,12411,4129,5,0.950644524445477,5.51962215900526E-05
29,0,4555,2367,3477,1158,5,1.03929747530187,0.000228116214948
29,0,3620,1934,2772,924,5,1.06850828729282,0.000295086519551
29,1,4040,2129,3208,1069,5,1.0539603960396,0.000260816727552
29,1,4862,2490,4200,1399,5,1.02426984779926,0.000210625097224
29,1,3354,1789,2461,820,5,1.06678592725104,0.000317968979807
29,1,12540,6266,7983,2648,5,0.999362041467305,7.96875880286504E-05
30,0,9854,4974,8085,2689,5,1.00953927339152,0.000102439297148
30,0,15146,8234,12321,3996,5,1.08728377129275,7.17821199770747E-05
30,0,12108,6038,9473,3151,5,0.997357119259993,8.23649450210582E-05
30,0,6358,3354,4840,1612,5,1.0550487574709,0.000165914256561
30,0,1487,879,1085,360,5,1.182246133154,0.000794520250776
30,0,1805,1074,1306,434,5,1.19002770083103,0.000658930066905
30,1,16915,9092,14316,4660,5,1.07502216967189,6.35506130096884E-05
30,1,14010,7654,11213,3647,5,1.09264810849393,7.79850195199438E-05
30,1,8698,4373,5795,1928,5,1.0055185100023,0.000115590126452
30,1,4557,2408,3329,1109,5,1.0568356374808,0.000231863895893
31,0,350,194,292,97,4,1.10857142857143,0.003158323158323
31,0,479,277,328,109,5,1.15657620041754,0.00240953375087
31,0,740,399,588,196,5,1.07837837837838,0.001455301455301
31,0,185,113,154,51,4,1.22162162162162,0.006567858180761
31,0,118,70,94,31,4,1.1864406779661,0.009970089730808
31,0,640,352,519,172,5,1.1,0.001716068642746
31,1,350,203,292,97,4,1.16,0.003304843304843
31,1,208,124,156,52,5,1.19230769230769,0.005704821494295
31,1,642,351,525,175,5,1.09345794392523,0.001700556677955
31,1,533,303,454,151,4,1.13696060037523,0.002129139701077
32,0,538,312,363,121,5,1.15985130111524,0.002151857701513
32,0,357,210,286,95,5,1.17647058823529,0.003286230693395
32,0,473,275,354,118,5,1.16279069767442,0.002453144931803
32,0,1077,617,730,243,5,1.14577530176416,0.001062871337444
32,0,1125,644,820,273,5,1.14488888888889,0.001016775212157
32,0,263,161,147,49,5,1.22433460076046,0.004637631063487
32,1,1264,703,977,325,5,1.1123417721519,0.000879321559013
32,1,1005,562,793,264,5,1.11840796019901,0.001111737534989
32,1,1606,884,1229,409,5,1.10087173100872,0.000685047747983
32,1,1158,678,852,283,5,1.17098445595855,0.001010340341638
33,0,749,458,479,159,5,1.22296395193591,0.001630618602581
33,0,400,250,252,84,5,1.25,0.003117206982544
33,0,583,367,360,120,5,1.2590051457976,0.002155830729105
33,0,407,257,218,72,5,1.26289926289926,0.003095341330635
33,0,61,38,34,11,4,1.24590163934426,0.020095187731359
33,0,170,106,130,43,4,1.24705882352941,0.007292741658067
33,1,397,253,255,85,5,1.27455919395466,0.003202410035062
33,1,387,246,198,66,5,1.27131782945736,0.003276592343962
33,1,162,104,109,36,4,1.28395061728395,0.007876997652049
33,1,255,157,167,55,4,1.23137254901961,0.004810049019608
34,0,786,491,515,171,5,1.24936386768448,0.001587501737846
34,0,507,315,350,116,5,1.24260355029586,0.002446069980897
34,0,170,120,105,35,5,1.41176470588235,0.008255933952528
34,0,299,190,231,77,4,1.27090301003344,0.004236343366778
34,0,515,334,319,106,5,1.29708737864078,0.002513735229924
34,0,379,254,231,77,5,1.34036939313984,0.003527287876684
34,1,509,316,371,123,5,1.24165029469548,0.002434608420972
34,1,551,336,421,140,4,1.21960072595281,0.002209421604987
34,1,364,227,222,74,5,1.24725274725275,0.003417130814391
34,1,1058,668,644,213,5,1.26275992438563,0.00119240786061
35,0,9391,5125,7029,2340,5,1.0914705569162,0.000116212793539
35,0,2958,1683,2495,829,5,1.13793103448276,0.000384566081272
35,0,549,355,370,123,4,1.29326047358834,0.002351382679252
35,0,4181,2374,3162,1053,5,1.13561348959579,0.00027154794108
35,0,1756,1039,1295,430,5,1.18337129840547,0.000673518098125
35,0,1956,1156,1433,477,5,1.18200408997955,0.000603987782309
35,1,1359,808,1008,335,5,1.18910963944077,0.000874345323118
35,1,1482,903,1117,372,5,1.21862348178138,0.00082172857841
35,1,997,603,790,263,5,1.20962888665998,0.001212052992645
35,1,1107,662,829,276,5,1.19602529358627,0.001079445210818
36,0,715,417,540,180,5,1.16643356643357,0.001629097159823
36,0,399,245,277,92,5,1.2280701754386,0.003070175438596
36,0,718,416,567,189,4,1.15877437325905,0.001611647250708
36,0,532,311,397,132,5,1.16917293233083,0.002193570229514
36,0,1087,607,886,295,5,1.11683532658694,0.001026503057525
36,0,884,507,700,233,5,1.14705882352941,0.001296111665005
36,1,1296,743,1012,337,5,1.14660493827161,0.000884043899978
36,1,1091,625,903,300,5,1.14573785517874,0.00104921049009
36,1,547,325,390,129,5,1.18829981718464,0.00216843032333
36,1,219,133,159,53,4,1.21461187214612,0.00552096305521
37,0,1897,1117,1426,474,5,1.17764891934634,0.000620468345283
37,0,6514,3424,5241,1742,5,1.05127417869205,0.000161362114918
37,0,13574,6783,9331,3106,5,0.999410637984382,7.36214097962712E-05
37,0,2480,1379,2006,668,5,1.11209677419355,0.000448245374524
37,0,13147,6534,8983,2991,5,0.993991024568343,7.56001691944282E-05
37,0,2863,1572,2229,742,5,1.09814879497031,0.000383431841819
37,1,407,253,299,99,4,1.24324324324324,0.003047164811871
37,1,860,527,632,209,5,1.22558139534884,0.001423439483564
37,1,4609,2386,3467,1155,5,1.03536558906487,0.00022459123407
37,1,1856,1057,1441,479,5,1.13900862068966,0.000613359515719
38,0,12049,6499,9191,2983,5,1.07876172296456,8.95237944368931E-05
38,0,8221,4077,6774,2257,5,0.991850139885659,0.000120633682788
38,0,13799,7467,9929,3241,5,1.08225233712588,7.8424082400426E-05
38,0,8937,4433,6946,2314,5,0.99205549960837,0.00011099300734
38,0,12998,6973,9799,3200,5,1.07293429758424,8.25397567185355E-05
38,0,11684,6270,8741,2850,5,1.07326258130777,9.1849600454238E-05
38,1,14400,7559,10396,3400,5,1.04986111111111,7.29019589688988E-05
38,1,10257,5612,7223,2338,5,1.09427707906795,0.00010667548051
38,1,7483,3831,5981,1991,5,1.02392088734465,0.000136814656246
38,1,6509,3357,5302,1766,5,1.03149485328007,0.00015844775012
39,0,2077,1205,1543,513,5,1.16032739528166,0.000558386619481
39,0,996,613,630,210,5,1.23092369477912,0.001234627577512
39,0,4284,2354,3188,1060,5,1.09897292250233,0.000256469760211
39,0,2178,1285,1526,506,5,1.17998163452709,0.000541524384822
39,0,1083,652,704,233,5,1.20406278855032,0.001110759030028
39,0,2108,1196,1539,512,5,1.13472485768501,0.000538039287665
39,1,5361,2836,4190,1395,5,1.05801156500653,0.000197316591758
39,1,10984,5468,8466,2821,5,0.995630007283321,9.0635412588377E-05
39,1,4166,2285,3072,1023,5,1.09697551608257,0.000263253063615
39,1,1407,840,955,317,5,1.19402985074627,0.00084803256445
40,0,1571,945,1084,360,5,1.20305537873966,0.000765302403778
40,0,1813,1087,1200,398,5,1.19911748483177,0.000661034997151
40,0,1907,1149,1340,444,5,1.20503408495018,0.000631569226913
40,0,794,495,502,167,5,1.24685138539043,0.001568366522504
40,0,849,523,588,196,5,1.23203769140165,0.001449456107531
40,0,684,434,410,136,5,1.26900584795322,0.001852563281684
40,1,168,110,96,32,5,1.30952380952381,0.007748661594815
40,1,484,306,291,97,5,1.26446280991736,0.002607139814263
40,1,288,185,202,67,5,1.28472222222222,0.004445405613226
40,1,4276,2350,3257,1084,5,1.09915809167446,0.000256992773363
41,0,2186,1236,1705,568,5,1.13083257090576,0.000517070219893
41,0,2100,1238,1514,503,5,1.17904761904762,0.000561184016681
41,0,2802,1573,2101,700,5,1.12276945039258,0.000400559918085
41,0,3552,1954,2582,860,5,1.10022522522523,0.000309660913376
41,0,1723,1021,1179,393,5,1.18514219384794,0.000687437467429
41,0,906,563,635,211,5,1.24282560706402,0.00137025976523
41,1,1048,626,800,266,5,1.19465648854962,0.001138852705958
41,1,2681,1462,1906,635,5,1.09063782170832,0.000406650940234
41,1,4152,2225,3215,1071,5,1.07177263969171,0.000258071909389
41,1,3054,1701,2281,759,5,1.1139489194499,0.000364631397529
42,0,1908,1046,1616,537,5,1.09643605870021,0.000574350999843
42,0,1541,892,1203,400,5,1.15768981181051,0.00075077160299
42,0,2649,1440,2272,756,5,1.0872027180068,0.000410265176606
42,0,3457,1895,2611,869,5,1.09632629447498,0.000317040570988
42,0,1887,1066,1506,501,5,1.12983571807101,0.000598429935419
42,0,3298,1749,2923,974,5,1.06064281382656,0.000321504338838
42,1,2285,1288,1678,559,5,1.127352297593,0.000493154985824
42,1,2200,1232,1726,574,5,1.12,0.000508859609269
42,1,2408,1325,1942,647,5,1.10049833887043,0.000456827870017
42,1,4022,2127,3296,1098,5,1.05768274490303,0.000262908959707
43,0,96,59,69,23,4,1.22916666666667,0.012671821305842
43,0,152,96,96,32,4,1.26315789473684,0.008255933952528
43,0,176,112,111,37,5,1.27272727272727,0.007190549563431
43,0,240,148,189,63,5,1.23333333333333,0.005117565698479
43,0,88,59,54,18,4,1.34090909090909,0.015066394279877
43,0,93,60,57,19,4,1.29032258064516,0.01372683596431
43,1,73,45,51,17,4,1.23287671232877,0.016660496112551
43,1,81,52,48,16,4,1.28395061728395,0.015657934357121
43,1,119,77,60,20,5,1.29411764705882,0.01078431372549
43,1,86,57,51,17,4,1.32558139534884,0.01523656776263
44,0,12536,6090,10232,3409,5,0.971601786853861,7.74987466582006E-05
44,0,8736,4896,5781,1861,5,1.12087912087912,0.00012829107484
44,0,11933,5835,9539,3178,5,0.977960278220062,8.19474005547228E-05
44,0,9260,4574,7596,2530,5,0.987904967602592,0.000106673681849
