ID,Dataset,Size,Volume,WedgeCount,ClawCount,MaxDegree,AveDeg,Fill
1,0,13583,6621,8763,2916,5,0.974895089450048,7.17678952775359E-05
1,0,8689,4767,6439,2094,5,1.09724939578778,0.000126265753255
1,0,8266,4625,5917,1924,5,1.11904185821437,0.000135362508554
1,0,8602,4786,6190,2021,5,1.11276447337828,0.000129346097103
1,0,7931,4383,6015,1950,5,1.10528306644812,0.000139344814227
1,0,3637,1894,3058,1019,5,1.04151773439648,0.000286288547113
1,1,5790,3053,4840,1611,5,1.0545768566494,0.000182106174521
1,1,6331,3292,5165,1720,5,1.03996209129679,0.000164239117387
1,1,2940,1658,2315,770,5,1.12789115646259,0.000383506003557
1,1,5608,2980,4520,1505,5,1.06276747503566,0.000189475392233
2,0,527,335,360,120,5,1.27134724857685,0.002407854637456
2,0,745,451,496,165,5,1.21073825503356,0.001622973532217
2,0,548,339,341,113,5,1.23722627737226,0.002253599776634
2,0,497,310,331,110,5,1.24748490945674,0.002504989778026
2,0,320,201,219,73,4,1.25625,0.003913551401869
2,0,830,511,555,185,5,1.23132530120482,0.001481739231293
2,1,557,349,352,117,4,1.25314183123878,0.002245773891109
2,1,548,332,363,121,4,1.21167883211679,0.002207065267972
2,1,799,485,577,192,5,1.21401752190238,0.001517521902378
2,1,376,239,265,88,5,1.27127659574468,0.003372086460861
3,0,21906,10539,16897,5540,5,0.962202136400986,4.39221315744276E-05
3,0,12692,6674,9629,3159,5,1.05168610148125,8.28555976901637E-05
3,0,22454,10855,16071,5285,5,0.966865591876726,4.30579199232566E-05
3,0,17749,8573,11891,3948,5,0.966026255000282,5.44240143662131E-05
3,0,17662,8522,12191,4049,5,0.965009625184011,5.4634525572327E-05
3,0,22805,11074,17106,5606,5,0.971190528392896,4.25848692621633E-05
3,1,20940,10449,17787,5833,5,0.997994269340974,4.7657431323288E-05
3,1,19468,9837,17698,5792,5,1.01058146702281,5.19072097705484E-05
3,1,24428,11617,16693,5517,5,0.951121663664647,3.89341218905664E-05
3,1,21724,10776,18542,6082,5,0.992082489412631,4.56654770730785E-05
4,0,3372,1817,2715,885,5,1.07769869513642,0.000319507469652
4,0,430,258,297,99,5,1.2,0.002784222737819
4,0,1742,887,1304,434,5,1.01836969001148,0.000584262587499
4,0,3084,1546,2291,762,5,1.00259403372244,0.000324989962309
4,0,1120,601,786,261,5,1.07321428571429,0.00095737224417
4,0,1076,589,764,254,5,1.09479553903346,0.00101652324887
4,1,1955,980,1661,553,5,1.00255754475703,0.000512554981982
4,1,876,491,593,197,5,1.12100456621005,0.001278226415291
4,1,1975,1018,1597,531,5,1.03088607594937,0.000521703479731
4,1,933,525,638,212,5,1.12540192926045,0.001204927119123
5,0,747,458,492,163,5,1.22623828647925,0.001639355997967
5,0,421,270,240,80,5,1.28266033254157,0.003039479460999
5,0,1082,660,701,232,5,1.21996303142329,0.001126466326337
5,0,80,54,60,20,4,1.35,0.016666666666667
5,0,108,73,60,20,4,1.35185185185185,0.012402310567448
5,0,306,192,208,68,5,1.25490196078431,0.004087628536757
5,1,404,256,265,88,5,1.26732673267327,0.00312920180907
5,1,349,220,201,66,5,1.26074498567335,0.003602128530495
5,1,799,491,520,172,5,1.22903629536921,0.001536295369212
5,1,470,293,261,87,4,1.2468085106383,0.002647151827258
6,0,563,352,384,127,5,1.25044404973357,0.00221709937896
6,0,1687,959,1280,425,5,1.13692946058091,0.000673536410297
6,0,593,365,432,144,4,1.23102866779089,0.002072438834665
6,0,1296,754,983,326,5,1.16358024691358,0.000897132033087
6,0,444,263,333,111,5,1.18468468468468,0.002662212774572
6,0,619,371,437,145,5,1.19870759289176,0.001933399343374
6,1,810,490,596,197,5,1.20987654320988,0.001491832975598
6,1,1117,645,822,274,5,1.15487914055506,0.001032986708904
6,1,1838,1051,1333,443,5,1.14363438520131,0.000621878404133
6,1,831,489,563,187,5,1.17689530685921,0.001414537628437
7,0,564,355,388,129,5,1.25886524822695,0.002228080085357
7,0,590,358,426,141,5,1.2135593220339,0.002053399868078
7,0,784,460,586,195,5,1.1734693877551,0.001494865462108
7,0,1521,890,1276,425,5,1.17028270874425,0.000768911109556
7,0,1209,708,943,314,5,1.1712158808933,0.000967947009003
7,0,666,410,490,163,5,1.23123123123123,0.001845923884904
7,1,1055,624,848,282,5,1.18293838862559,0.001120206807411
7,1,836,509,611,202,5,1.2177033492823,0.001454842711209
7,1,2420,1402,1800,598,5,1.15867768595041,0.00047859466582
7,1,504,328,361,120,5,1.3015873015873,0.002577400597203
8,0,171,109,111,37,4,1.27485380116959,0.007411940704474
8,0,216,136,130,43,4,1.25925925925926,0.005803038061103
8,0,110,71,49,16,5,1.29090909090909,0.011629811629812
8,0,200,126,138,46,5,1.26,0.006268656716418
8,0,217,140,114,38,4,1.29032258064516,0.005918910920391
8,0,178,116,109,36,4,1.30337078651685,0.007281401041994
8,1,178,109,114,38,5,1.2247191011236,0.006842006151528
8,1,294,192,192,64,4,1.30612244897959,0.004427533725355
8,1,168,109,112,37,5,1.29761904761905,0.007678219216681
8,1,618,382,411,137,5,1.23624595469256,0.001997166324221
9,0,1173,694,922,306,5,1.18329070758738,0.001007913720262
9,0,914,556,644,214,5,1.21663019693654,0.001329650488455
9,0,1305,782,1031,343,5,1.19846743295019,0.000917662659227
9,0,802,487,570,190,5,1.214463840399,0.001512408269488
9,0,1067,655,791,263,5,1.22774133083411,0.001149570534489
9,0,1097,661,827,275,5,1.20510483135825,0.001097545383751
9,1,784,491,518,172,5,1.25255102040816,0.001595606395424
9,1,728,448,547,181,5,1.23076923076923,0.001688297984594
9,1,1419,847,1046,348,5,1.1937984496124,0.00084070313353
